,actual,predicted,word,word_unk,count
170,.,:,.,.,2
171,.,CC,!,!,1
172,.,CD,.,.,4
173,.,DT,.,.,7
174,.,DT,?,?,2
175,.,FW,?,?,1
176,.,IN,!,!,1
177,.,IN,.,.,8
178,.,IN,?,?,1
179,.,JJ,.,.,5
180,.,JJ,?,?,1
181,.,MD,!,!,1
182,.,MD,.,.,1
183,.,NN,.,.,9
184,.,NN,?,?,1
185,.,NNP,!,!,1
186,.,NNP,.,.,8
187,.,NNP,?,?,2
188,.,NNS,.,.,2
189,.,NNS,?,?,2
190,.,PRP,!,!,1
191,.,PRP,.,.,4
192,.,PRP,?,?,1
193,.,RB,.,.,1
194,.,RB,?,?,2
195,.,RBR,.,.,1
196,.,TO,.,.,2
197,.,TO,?,?,1
198,.,VB,.,.,6
199,.,VB,?,?,1
200,.,VBD,.,.,2
201,.,VBG,.,.,1
202,.,VBN,.,.,4
203,.,VBN,?,?,1
204,.,VBP,.,.,5
205,.,VBZ,.,.,2
206,.,VBZ,?,?,2
207,.,WDT,.,.,1
208,.,``,.,.,2
209,.,``,?,?,1
210,:,$,--,--,2
211,:,'',--,--,1
212,:,'',...,...,1
213,:,'',;,;,1
214,:,(,:,:,1
215,:,),--,--,2
216,:,",",-,-,2
217,:,",",--,--,15
218,:,",",...,...,1
219,:,",",:,:,3
220,:,",",;,;,4
221,:,.,-,-,1
222,:,.,--,--,4
223,:,.,:,:,6
224,:,.,;,;,4
225,:,CC,--,--,3
226,:,CC,...,...,1
227,:,CC,:,:,1
228,:,CC,;,;,4
229,:,CD,-,-,1
230,:,CD,--,--,3
231,:,CD,:,:,1
232,:,CD,;,;,2
233,:,DT,-,-,1
234,:,DT,--,--,8
235,:,DT,...,...,3
236,:,DT,:,:,7
237,:,DT,;,;,1
238,:,IN,-,-,1
239,:,IN,--,--,24
240,:,IN,...,...,3
241,:,IN,:,:,16
242,:,IN,;,;,18
243,:,JJ,-,-,2
244,:,JJ,--,--,4
245,:,JJ,...,...,2
246,:,JJ,:,:,3
247,:,JJ,;,;,3
248,:,MD,--,--,4
249,:,MD,...,...,1
250,:,MD,:,:,3
251,:,MD,;,;,1
252,:,NN,-,-,4
253,:,NN,--,--,19
254,:,NN,...,...,6
255,:,NN,:,:,7
256,:,NN,;,;,4
257,:,NNP,--,--,11
258,:,NNP,...,...,5
259,:,NNP,:,:,10
260,:,NNP,;,;,4
261,:,NNS,--,--,7
262,:,NNS,...,...,5
263,:,NNS,;,;,1
264,:,POS,--,--,4
265,:,POS,:,:,5
266,:,PRP,-,-,3
267,:,PRP,--,--,6
268,:,PRP,...,...,2
269,:,PRP,:,:,1
270,:,PRP,;,;,1
271,:,RB,--,--,3
272,:,RB,:,:,2
273,:,RP,;,;,2
274,:,TO,--,--,7
275,:,TO,:,:,4
276,:,TO,;,;,2
277,:,VB,--,--,7
278,:,VB,...,...,1
279,:,VB,:,:,1
280,:,VB,;,;,6
281,:,VBD,--,--,5
282,:,VBD,:,:,12
283,:,VBG,--,--,1
284,:,VBG,:,:,3
285,:,VBN,--,--,5
286,:,VBN,:,:,2
287,:,VBN,;,;,1
288,:,VBP,--,--,6
289,:,VBP,:,:,1
290,:,VBP,;,;,1
291,:,VBZ,--,--,3
292,:,VBZ,:,:,1
293,:,WP,--,--,1
294,:,``,--,--,2
295,:,``,:,:,1
296,:,``,;,;,1
297,CC,$,and,and,2
298,CC,'',And,And,1
299,CC,'',But,But,2
300,CC,'',but,but,2
301,CC,'',or,or,1
302,CC,",",&,&,1
303,CC,",",and,and,1
304,CC,",",but,but,1
305,CC,.,AND,AND,1
306,CC,.,and,and,3
307,CC,.,but,but,1
308,CC,.,less,less,1
309,CC,.,or,or,2
310,CC,CD,&,&,1
311,CC,CD,and,and,8
312,CC,CD,less,less,1
313,CC,DT,And,And,2
314,CC,DT,But,But,4
315,CC,DT,Either,Either,1
316,CC,DT,and,and,13
317,CC,DT,but,but,1
318,CC,DT,either,either,5
319,CC,DT,less,less,1
320,CC,DT,neither,neither,1
321,CC,DT,or,or,5
322,CC,DT,v.,v.,1
323,CC,FW,and,and,1
324,CC,IN,'n','n',1
325,CC,IN,But,But,7
326,CC,IN,Or,Or,1
327,CC,IN,So,So,4
328,CC,IN,and,and,35
329,CC,IN,and\/or,<UNK>,1
330,CC,IN,but,but,10
331,CC,IN,nor,nor,1
332,CC,IN,or,or,1
333,CC,IN,plus,plus,2
334,CC,IN,so,so,2
335,CC,IN,vs.,vs.,3
336,CC,IN,whether,whether,5
337,CC,JJ,and,and,28
338,CC,JJ,but,but,5
339,CC,JJ,or,or,8
340,CC,JJ,plus,plus,1
341,CC,MD,and,and,5
342,CC,MD,either,either,1
343,CC,MD,or,or,4
344,CC,MD,yet,yet,1
345,CC,NN,And,And,1
346,CC,NN,and,and,30
347,CC,NN,but,but,2
348,CC,NN,either,either,2
349,CC,NN,nor,nor,1
350,CC,NN,or,or,2
351,CC,NN,whether,whether,1
352,CC,NNP,&,&,8
353,CC,NNP,'N,'N,1
354,CC,NNP,AND,AND,2
355,CC,NNP,And,And,2
356,CC,NNP,But,But,8
357,CC,NNP,Yet,Yet,1
358,CC,NNP,and,and,25
359,CC,NNP,but,but,1
360,CC,NNS,and,and,5
361,CC,NNS,but,but,1
362,CC,NNS,or,or,2
363,CC,NNS,plus,plus,1
364,CC,POS,and,and,2
365,CC,PRP,And,And,1
366,CC,PRP,But,But,3
367,CC,PRP,Nor,Nor,5
368,CC,PRP,Or,Or,1
369,CC,PRP,and,and,2
370,CC,PRP,or,or,2
371,CC,RB,And,And,5
372,CC,RB,But,But,2
373,CC,RB,Or,Or,1
374,CC,RB,So,So,3
375,CC,RB,and,and,3
376,CC,RB,but,but,5
377,CC,RB,either,either,6
378,CC,RB,or,or,2
379,CC,RB,plus,plus,1
380,CC,RB,yet,yet,3
381,CC,RP,or,or,1
382,CC,TO,But,But,1
383,CC,TO,and,and,9
384,CC,TO,or,or,6
385,CC,VB,and,and,10
386,CC,VB,or,or,4
387,CC,VBD,and,and,5
388,CC,VBD,but,but,1
389,CC,VBG,But,But,1
390,CC,VBG,and,and,1
391,CC,VBG,but,but,1
392,CC,VBN,But,But,1
393,CC,VBN,and,and,1
394,CC,VBN,but,but,1
395,CC,VBN,either,either,1
396,CC,VBN,or,or,2
397,CC,VBN,yet,yet,1
398,CC,VBP,and,and,2
399,CC,VBP,either,either,1
400,CC,VBP,or,or,1
401,CC,VBZ,and,and,2
402,CC,VBZ,but,but,2
403,CC,VBZ,nor,nor,1
404,CC,VBZ,or,or,3
405,CC,WP,but,but,2
406,CC,WRB,and,and,2
407,CC,``,But,But,1
408,CC,``,Neither,Neither,1
409,CC,``,Or,Or,1
410,CC,``,and,and,4
411,CD,$,0.9,0.9,1
412,CD,$,1,1,1
413,CD,$,"1,600","1,600",1
414,CD,$,1.15,1.15,1
415,CD,$,1.26,1.26,1
416,CD,$,1.5,1.5,1
417,CD,$,1.6,1.6,1
418,CD,$,1.8,1.8,1
419,CD,$,10,10,1
420,CD,$,10.2,10.2,1
421,CD,$,"11,000","11,000",1
422,CD,$,13,13,1
423,CD,$,13.32,13.32,1
424,CD,$,137,137,1
425,CD,$,14,14,1
426,CD,$,153,153,1
427,CD,$,16.9,16.9,1
428,CD,$,168,168,2
429,CD,$,18,18,1
430,CD,$,1979-80,1979-80,1
431,CD,$,2.02,2.02,2
432,CD,$,2.4,2.4,2
433,CD,$,2.5,2.5,2
434,CD,$,2.6,2.6,2
435,CD,$,20,20,2
436,CD,$,22.6,22.6,1
437,CD,$,24,24,2
438,CD,$,250,250,2
439,CD,$,252,252,1
440,CD,$,26.9,26.9,1
441,CD,$,285,285,1
442,CD,$,3.2,3.2,1
443,CD,$,3.5,3.5,2
444,CD,$,3.7,3.7,2
445,CD,$,30,30,1
446,CD,$,34,34,1
447,CD,$,4.2,4.2,1
448,CD,$,450,450,1
449,CD,$,5.1,5.1,1
450,CD,$,5.7,5.7,1
451,CD,$,53.9,53.9,1
452,CD,$,54,54,1
453,CD,$,6,6,1
454,CD,$,6.4,6.4,1
455,CD,$,6.8,6.8,1
456,CD,$,617,617,1
457,CD,$,69,69,1
458,CD,$,7.45,7.45,1
459,CD,$,7.5,7.5,1
460,CD,$,75,75,1
461,CD,$,8,8,1
462,CD,$,8.06,8.06,1
463,CD,$,8.2,8.2,1
464,CD,$,8.21,8.21,1
465,CD,$,807,807,1
466,CD,$,84,84,1
467,CD,$,"9,000","9,000",1
468,CD,$,9.53,9.53,1
469,CD,$,97,97,2
470,CD,$,Six,Six,1
471,CD,$,seven,seven,1
472,CD,$,two,two,1
473,CD,'',5:09,5:09,1
474,CD,'',Five,Five,1
475,CD,'',One,One,1
476,CD,'',Three,Three,2
477,CD,'',Two,Two,2
478,CD,'',one,one,1
479,CD,(,6.9,6.9,1
480,CD,),74,74,1
481,CD,),billion,billion,2
482,CD,",",10,10,2
483,CD,",",1982,1982,2
484,CD,",",1988,1988,1
485,CD,",",1994,1994,1
486,CD,",",2,2,1
487,CD,",","500,000","500,000",1
488,CD,",",60,60,1
489,CD,",",75,75,1
490,CD,",",767,767,1
491,CD,",",7\/8,7\/8,1
492,CD,",",880,880,1
493,CD,",",9,9,2
494,CD,",",98,98,1
495,CD,",",five,five,1
496,CD,",",million,million,1
497,CD,",",seven,seven,1
498,CD,",",two,two,1
499,CD,.,10,10,1
500,CD,.,142,142,1
501,CD,.,1992,1992,1
502,CD,.,1994,1994,1
503,CD,.,50,50,1
504,CD,:,"800,000","800,000",1
505,CD,CC,1989,1989,1
506,CD,CC,5,5,1
507,CD,CC,62,62,1
508,CD,CC,One,One,3
509,CD,CC,one,one,1
510,CD,CC,two,two,1
511,CD,DT,0.01,<UNK>,2
512,CD,DT,0.03,0.03,1
513,CD,DT,0.05,0.05,2
514,CD,DT,0.2,0.2,1
515,CD,DT,0.25,0.25,1
516,CD,DT,0.272,<UNK>,1
517,CD,DT,0.3,0.3,2
518,CD,DT,0.32,<UNK>,2
519,CD,DT,0.375,0.375,1
520,CD,DT,0.4,0.4,1
521,CD,DT,0.45,0.45,1
522,CD,DT,0.5,0.5,2
523,CD,DT,0.53,0.53,1
524,CD,DT,0.7,0.7,1
525,CD,DT,0.76,<UNK>,1
526,CD,DT,0.8,0.8,1
527,CD,DT,0.86,<UNK>,1
528,CD,DT,0.95,0.95,1
529,CD,DT,"1,200","1,200",1
530,CD,DT,"1,250","1,250",1
531,CD,DT,"1,500","1,500",1
532,CD,DT,1.1,1.1,1
533,CD,DT,1.25,1.25,1
534,CD,DT,1.5,1.5,1
535,CD,DT,1.6,1.6,2
536,CD,DT,1.7,1.7,2
537,CD,DT,1.75,1.75,1
538,CD,DT,10,10,2
539,CD,DT,10.09,<UNK>,1
540,CD,DT,10.1,10.1,1
541,CD,DT,10.5,10.5,1
542,CD,DT,10.958,<UNK>,1
543,CD,DT,100,100,5
544,CD,DT,101,101,1
545,CD,DT,10:45,<UNK>,1
546,CD,DT,11,11,1
547,CD,DT,111,111,1
548,CD,DT,12,12,2
549,CD,DT,12.6,12.6,1
550,CD,DT,12.7,12.7,1
551,CD,DT,12.75,12.75,1
552,CD,DT,129,<UNK>,1
553,CD,DT,12:01,12:01,1
554,CD,DT,13,13,1
555,CD,DT,13.1,13.1,3
556,CD,DT,13.4,13.4,2
557,CD,DT,13.75,13.75,2
558,CD,DT,14,14,2
559,CD,DT,14.25,14.25,1
560,CD,DT,14.99,14.99,1
561,CD,DT,140,140,1
562,CD,DT,141.55,141.55,1
563,CD,DT,141.7,141.7,1
564,CD,DT,"148,000",<UNK>,1
565,CD,DT,15,15,2
566,CD,DT,"15,000","15,000",1
567,CD,DT,15.25,15.25,1
568,CD,DT,15.3,<UNK>,1
569,CD,DT,15.4,<UNK>,1
570,CD,DT,15.5,15.5,1
571,CD,DT,15.75,<UNK>,1
572,CD,DT,"160,000","160,000",1
573,CD,DT,168,168,1
574,CD,DT,17,17,2
575,CD,DT,"17,000","17,000",1
576,CD,DT,17.5,17.5,1
577,CD,DT,170,170,1
578,CD,DT,172,172,1
579,CD,DT,178,178,1
580,CD,DT,18,18,1
581,CD,DT,19.7,19.7,1
582,CD,DT,1983,1983,1
583,CD,DT,1986-87,1986-87,1
584,CD,DT,1990,1990,2
585,CD,DT,1:11,<UNK>,1
586,CD,DT,2,2,2
587,CD,DT,2.1,2.1,1
588,CD,DT,2.2,2.2,2
589,CD,DT,2.25,2.25,1
590,CD,DT,2.6,2.6,1
591,CD,DT,2.7,2.7,1
592,CD,DT,2.8,2.8,1
593,CD,DT,2.9,2.9,1
594,CD,DT,20,20,4
595,CD,DT,20.5,20.5,1
596,CD,DT,"200,000","200,000",1
597,CD,DT,207,<UNK>,1
598,CD,DT,21,21,1
599,CD,DT,21.7,21.7,1
600,CD,DT,22,22,1
601,CD,DT,23,23,1
602,CD,DT,23.5,23.5,1
603,CD,DT,230,230,1
604,CD,DT,"233,000",<UNK>,1
605,CD,DT,24,24,1
606,CD,DT,24.1,<UNK>,1
607,CD,DT,24.68,<UNK>,1
608,CD,DT,25,25,2
609,CD,DT,"276,334","276,334",1
610,CD,DT,"3,300","3,300",1
611,CD,DT,"3,513,072",<UNK>,1
612,CD,DT,3.25,3.25,1
613,CD,DT,3.3,3.3,2
614,CD,DT,3.5,3.5,1
615,CD,DT,3.7,3.7,2
616,CD,DT,3.865,<UNK>,1
617,CD,DT,30,30,1
618,CD,DT,"30,000","30,000",1
619,CD,DT,31.6,<UNK>,1
620,CD,DT,"32,000","32,000",1
621,CD,DT,325,325,1
622,CD,DT,329,329,1
623,CD,DT,33,33,1
624,CD,DT,34,34,2
625,CD,DT,35,35,2
626,CD,DT,375,375,1
627,CD,DT,"38,000","38,000",1
628,CD,DT,39,39,1
629,CD,DT,3\/16,3\/16,1
630,CD,DT,"4,500","4,500",1
631,CD,DT,4.23,<UNK>,1
632,CD,DT,4.4,4.4,2
633,CD,DT,4.5,4.5,2
634,CD,DT,4.6,4.6,2
635,CD,DT,4.7,4.7,3
636,CD,DT,4.8,4.8,3
637,CD,DT,4.8,<UNK>,1
638,CD,DT,4.92,<UNK>,1
639,CD,DT,"400,000","400,000",1
640,CD,DT,405,405,1
641,CD,DT,41,41,1
642,CD,DT,43,43,1
643,CD,DT,43.5,43.5,1
644,CD,DT,45,45,2
645,CD,DT,47,47,2
646,CD,DT,470,470,1
647,CD,DT,49.2,<UNK>,1
648,CD,DT,4:30,4:30,1
649,CD,DT,"5,500","5,500",1
650,CD,DT,5.2,5.2,2
651,CD,DT,5.315,<UNK>,1
652,CD,DT,5.32,5.32,1
653,CD,DT,5.5,5.5,1
654,CD,DT,5.6,5.6,1
655,CD,DT,50,50,1
656,CD,DT,"50,000","50,000",5
657,CD,DT,50-50,50-50,1
658,CD,DT,50.01,<UNK>,1
659,CD,DT,50.3,50.3,1
660,CD,DT,51,51,2
661,CD,DT,55,55,1
662,CD,DT,56,56,1
663,CD,DT,57,57,1
664,CD,DT,59,59,1
665,CD,DT,5:40,<UNK>,1
666,CD,DT,6,6,3
667,CD,DT,6.15,6.15,1
668,CD,DT,6.2,6.2,1
669,CD,DT,6.3,6.3,1
670,CD,DT,6.46,<UNK>,1
671,CD,DT,6.5,6.5,1
672,CD,DT,6.63,<UNK>,1
673,CD,DT,6.7,6.7,1
674,CD,DT,6.75,6.75,1
675,CD,DT,6.8,6.8,1
676,CD,DT,6.9,6.9,1
677,CD,DT,6.9,6.9,1
678,CD,DT,60,60,1
679,CD,DT,"61,493",<UNK>,1
680,CD,DT,"62,000","62,000",1
681,CD,DT,62.3,<UNK>,1
682,CD,DT,62.42,<UNK>,1
683,CD,DT,"625,000",<UNK>,1
684,CD,DT,"650,000",<UNK>,1
685,CD,DT,66,66,1
686,CD,DT,66.6,<UNK>,1
687,CD,DT,67,67,2
688,CD,DT,67.1,<UNK>,1
689,CD,DT,69,69,2
690,CD,DT,6:30,<UNK>,1
691,CD,DT,7,7,1
692,CD,DT,7.01,7.01,1
693,CD,DT,7.03,7.03,1
694,CD,DT,7.1,7.1,1
695,CD,DT,7.22,<UNK>,1
696,CD,DT,7.32,7.32,1
697,CD,DT,7.35,<UNK>,2
698,CD,DT,7.5,7.5,2
699,CD,DT,7.51,7.51,2
700,CD,DT,7.53,<UNK>,1
701,CD,DT,7.65,7.65,1
702,CD,DT,7.82,7.82,1
703,CD,DT,70,70,2
704,CD,DT,700,700,1
705,CD,DT,71,71,1
706,CD,DT,75,75,2
707,CD,DT,76.66,<UNK>,1
708,CD,DT,8,8,2
709,CD,DT,8.03,8.03,1
710,CD,DT,8.25,8.25,1
711,CD,DT,8.26,<UNK>,1
712,CD,DT,8.3,8.3,1
713,CD,DT,8.33,8.33,1
714,CD,DT,8.375,8.375,1
715,CD,DT,8.42,8.42,1
716,CD,DT,8.6,8.6,1
717,CD,DT,8.61,8.61,1
718,CD,DT,8.7,8.7,1
719,CD,DT,8.75,8.75,1
720,CD,DT,8.8,8.8,1
721,CD,DT,8.8,<UNK>,1
722,CD,DT,80,<UNK>,3
723,CD,DT,82,82,1
724,CD,DT,84,84,1
725,CD,DT,85,85,1
726,CD,DT,88,88,1
727,CD,DT,9,9,2
728,CD,DT,"9,800",<UNK>,1
729,CD,DT,9.06,<UNK>,1
730,CD,DT,9.33,<UNK>,1
731,CD,DT,9.51,9.51,1
732,CD,DT,9.6,9.6,2
733,CD,DT,9.8,9.8,1
734,CD,DT,9.87,<UNK>,1
735,CD,DT,9.88,<UNK>,1
736,CD,DT,9.9,<UNK>,1
737,CD,DT,95,95,1
738,CD,DT,99,99,1
739,CD,DT,99.5,99.5,1
740,CD,DT,99.9,<UNK>,1
741,CD,DT,9:31,<UNK>,1
742,CD,DT,F-16,F-16,1
743,CD,DT,Four,Four,2
744,CD,DT,One,One,23
745,CD,DT,Seven,Seven,1
746,CD,DT,Seventeen,Seventeen,1
747,CD,DT,Sixty,Sixty,1
748,CD,DT,Three,Three,1
749,CD,DT,Twenty-five,Twenty-five,2
750,CD,DT,Two,Two,13
751,CD,DT,eight,eight,2
752,CD,DT,five,five,3
753,CD,DT,four,four,4
754,CD,DT,one,one,9
755,CD,DT,seven,seven,1
756,CD,DT,six,six,1
757,CD,DT,three,three,4
758,CD,DT,trillion,trillion,1
759,CD,DT,two,two,10
760,CD,EX,"15,000","15,000",1
761,CD,IN,1,1,1
762,CD,IN,"1,838,200",<UNK>,1
763,CD,IN,1.2,1.2,1
764,CD,IN,1.23,1.23,1
765,CD,IN,10.5,10.5,1
766,CD,IN,111,111,1
767,CD,IN,12,12,1
768,CD,IN,13,13,1
769,CD,IN,"15,261",<UNK>,1
770,CD,IN,19.5,19.5,1
771,CD,IN,22,22,1
772,CD,IN,24,24,1
773,CD,IN,29,29,1
774,CD,IN,3,3,1
775,CD,IN,30.88,<UNK>,1
776,CD,IN,31.9,<UNK>,2
777,CD,IN,368.15,<UNK>,1
778,CD,IN,382.9,<UNK>,1
779,CD,IN,4.5,4.5,1
780,CD,IN,400,400,1
781,CD,IN,450,450,1
782,CD,IN,4:30,4:30,1
783,CD,IN,500,500,3
784,CD,IN,580,<UNK>,1
785,CD,IN,6.3,6.3,1
786,CD,IN,75,75,1
787,CD,IN,89,89,2
788,CD,IN,96,96,1
789,CD,IN,GR8FLRED,<UNK>,1
790,CD,IN,billion,billion,1
791,CD,IN,four,four,1
792,CD,IN,thousand,thousand,1
793,CD,IN,three,three,1
794,CD,IN,two,two,1
795,CD,JJ,'68,<UNK>,1
796,CD,JJ,'86,'86,2
797,CD,JJ,0.0015,<UNK>,1
798,CD,JJ,0.0108,<UNK>,1
799,CD,JJ,0.0182,<UNK>,1
800,CD,JJ,0.3,0.3,2
801,CD,JJ,0.4,0.4,2
802,CD,JJ,0.5,0.5,1
803,CD,JJ,0.89,<UNK>,1
804,CD,JJ,0.9,0.9,1
805,CD,JJ,0.92,<UNK>,1
806,CD,JJ,1,1,2
807,CD,JJ,"1,062",<UNK>,1
808,CD,JJ,"1,143",<UNK>,1
809,CD,JJ,"1,155",<UNK>,1
810,CD,JJ,"1,263,000",<UNK>,1
811,CD,JJ,"1,275,000",<UNK>,1
812,CD,JJ,"1,296,000",<UNK>,1
813,CD,JJ,"1,300","1,300",1
814,CD,JJ,"1,435",<UNK>,1
815,CD,JJ,"1,500","1,500",1
816,CD,JJ,1,<UNK>,1
817,CD,JJ,1.4,1.4,1
818,CD,JJ,1.5-mile,<UNK>,1
819,CD,JJ,1.6,1.6,2
820,CD,JJ,1.8485,<UNK>,3
821,CD,JJ,1.8667,<UNK>,1
822,CD,JJ,10,10,2
823,CD,JJ,"10,000","10,000",1
824,CD,JJ,"10,300",<UNK>,1
825,CD,JJ,10.4,10.4,1
826,CD,JJ,100,100,1
827,CD,JJ,1017.69,<UNK>,1
828,CD,JJ,106,106,1
829,CD,JJ,11,11,2
830,CD,JJ,11.5,11.5,1
831,CD,JJ,111.48,<UNK>,1
832,CD,JJ,"12,822,563",<UNK>,1
833,CD,JJ,13.5,13.5,1
834,CD,JJ,"130,000","130,000",1
835,CD,JJ,"137,200",<UNK>,1
836,CD,JJ,139,139,1
837,CD,JJ,13D,<UNK>,1
838,CD,JJ,14.6,14.6,1
839,CD,JJ,14.7,14.7,1
840,CD,JJ,140.97,<UNK>,1
841,CD,JJ,141.35,<UNK>,1
842,CD,JJ,141.93,<UNK>,1
843,CD,JJ,141.95,<UNK>,1
844,CD,JJ,142,142,1
845,CD,JJ,"142,117",<UNK>,1
846,CD,JJ,146,146,1
847,CD,JJ,15,15,3
848,CD,JJ,160,160,1
849,CD,JJ,165,165,1
850,CD,JJ,17,17,1
851,CD,JJ,17.3,17.3,1
852,CD,JJ,170,170,1
853,CD,JJ,18,18,1
854,CD,JJ,"186,000",<UNK>,1
855,CD,JJ,19,19,1
856,CD,JJ,190.58,190.58,1
857,CD,JJ,1906,1906,4
858,CD,JJ,191,<UNK>,1
859,CD,JJ,"194,000",<UNK>,1
860,CD,JJ,1942,1942,1
861,CD,JJ,1950,<UNK>,1
862,CD,JJ,1958,<UNK>,1
863,CD,JJ,197,<UNK>,1
864,CD,JJ,1971,1971,2
865,CD,JJ,1974,1974,1
866,CD,JJ,1979-80,1979-80,1
867,CD,JJ,"198,120,000",<UNK>,1
868,CD,JJ,1981,<UNK>,1
869,CD,JJ,1982,1982,1
870,CD,JJ,1983,1983,1
871,CD,JJ,1984,1984,6
872,CD,JJ,1985,1985,2
873,CD,JJ,1986,1986,5
874,CD,JJ,1987,1987,2
875,CD,JJ,1988,1988,1
876,CD,JJ,1990,1990,2
877,CD,JJ,1992,1992,1
878,CD,JJ,1\/2,1\/2,2
879,CD,JJ,1\/2-year,1\/2-year,1
880,CD,JJ,2,2,1
881,CD,JJ,"2,250,000","2,250,000",1
882,CD,JJ,"2,387,226",<UNK>,1
883,CD,JJ,"2,664,098",<UNK>,1
884,CD,JJ,2.26,<UNK>,1
885,CD,JJ,2.3,2.3,1
886,CD,JJ,2.5,2.5,1
887,CD,JJ,2.9428,<UNK>,1
888,CD,JJ,2.9429,<UNK>,1
889,CD,JJ,20,20,3
890,CD,JJ,"20,000","20,000",1
891,CD,JJ,21,21,1
892,CD,JJ,22,22,3
893,CD,JJ,"22,300",<UNK>,1
894,CD,JJ,22.9,<UNK>,1
895,CD,JJ,220,220,1
896,CD,JJ,23-5,<UNK>,1
897,CD,JJ,23.34,<UNK>,1
898,CD,JJ,24,24,3
899,CD,JJ,244,<UNK>,1
